ID,MATCH CENTER,DATE,DAY,TIME (IST),STADIUM,CITY,STATE,find,a,b,venue_id,,
40,Rajasthan Royals (RR) Vs Sun Risers Hyderabad (SRH),16-May-21,Sunday,3:30 PM,Sawai Mansingh Stadium,Jaipur,Rajasthan,23,Rajasthan Royals,Sun Risers Hyderabad,26,,
41,Chennai Super Kings (CSK) Vs Mumbai Indians (MI),16-May-21,Sunday,7:30 PM,M.A.Chidambaram Chepauk Stadium,Chennai,Tamilnadu.,27,Chennai Super Kings ,Mumbai Indians,17,,
42,Kolkata Knight Riders (KKR) Vs Delhi Capitals (DC),17-May-21,Monday,7:30 PM,Eden Gardens Stadium,Kolkata,WB,29,Kolkata Knight Riders ,Delhi Capitals,9,,
43,Kings XI Punjab (KXIP) Vs Sun Risers Hyderabad (SRH),18-May-21,Tuesday,7:30 PM,PCA Stadium ,Mohali,Punjab,24,Kings XI Punjab,Sun Risers Hyderabad,23,,
44,Royal Challengers Bangalore (RCB) Vs Chennai Super Kings (CSK),19-May-21,Wednesday,7:30 PM,M.Chinnaswamy Stadium,Bengaluru,Karnataka.,35,Royal Challengers Bangalore ,Chennai Super Kings,16,,
45,Rajasthan Royals (RR) Vs Mumbai Indians (MI),20-May-21,Thursday,7:30 PM,Sawai Mansingh Stadium,Jaipur,Rajasthan,23,Rajasthan Royals,Mumbai Indians,26,,
46,Kolkata Knight Riders (KKR) Vs Kings XI Punjab (KXIP),21-May-21,Friday,7:30 PM,Eden Gardens Stadium,Kolkata,WB,29,Kolkata Knight Riders ,Kings XI Punjab,9,,
47,Sun Risers Hyderabad (SRH) Vs Delhi Capitals (DC),22-May-21,Saturday,7:30 PM,R.G.I. Cricket Stadium,Hyderabad,Telangana.,28,Sunrisers Hyderabad ,Delhi Capitals,24,,
48,Mumbai Indians (MI) Vs Royal Challengers Bangalore (RCB),23-May-21,Sunday,3:30 PM,Wankhede Stadium,Mumbai,Maharashtra.,21,Mumbai Indians,Royal Challengers Bangalore,34,,
49,Chennai Super Kings (CSK) Vs Kolkata Knight Riders (KKR),23-May-21,Sunday,7:30 PM,M.A.Chidambaram Chepauk Stadium,Chennai,Tamilnadu.,27,Chennai Super Kings ,Kolkata Knight Riders,17,,
50,Kings XI Punjab (KXIP) Vs Rajasthan Royals (RR),24-May-21,Monday,7:30 PM,PCA Stadium ,Mohali,Punjab,24,Kings XI Punjab,Rajasthan Royals,23,,
51,Delhi Capitals (DC) Vs Mumbai Indians (MI),25-May-21,Tuesday,7:30 PM,Feroz Shah Kotla Stadium,Delhi,Delhi,21,Delhi Capitals,Mumbai Indians,1,,
52,Royal Challengers Bangalore (RCB) Vs Sun Risers Hyderabad (SRH),26-May-21,Thursday,7:30 PM,M.Chinnaswamy Stadium,Bengaluru,Karnataka.,35,Royal Challengers Bangalore ,Sun Risers Hyderabad,16,,
53,Chennai Super Kings (CSK) Vs Kings XI Punjab (KXIP),27-May-21,Thursday,7:30 PM,M.A.Chidambaram Chepauk Stadium,Chennai,Tamilnadu.,27,Chennai Super Kings ,Kings XI Punjab,17,,
54,Kolkata Knight Riders (KKR) Vs Rajasthan Royals (RR),28-May-21,Friday,7:30 PM,Eden Gardens Stadium,Kolkata,WB,29,Kolkata Knight Riders ,Rajasthan Royals,9,,Rajasthan Royals
55,Delhi Capitals (DC) Vs Royal Challengers Bangalore (RCB),29-May-21,Saturday,7:30 PM,Feroz Shah Kotla Stadium,Delhi,Delhi,21,Delhi Capitals,Royal Challengers Bangalore,1,,
56,Sun Risers Hyderabad (SRH) Vs Mumbai Indians (MI),30-May-21,Sunday,7:30 PM,R.G.I. Cricket Stadium,Hyderabad,Telangana.,28,Sunrisers Hyderabad ,Mumbai Indians,24,,
